strain	virus	accession	date	state	county	city	db	segment	authors	url	title	journal	paper_url	isolate	species	voltine_genus	generation	lineage_1	lineage_2	lineage_3
MN|LACV_NC077809|1960	LACV		1960-XX-XX	Minnesota	Unknown_MN	Unknown_MN	genbank	M	Bennett et al							Unknown	Unknown	none	none	none
RUS_Ivanovo|INKV_KT288270.1|1973	INKV	KT288269	1973-XX-XX	Ivanovo_Russia	Unknown_Ivanovo	Unknown_Ivanovo	genbank	M	Alkhovsky et al	https://www.ncbi.nlm.nih.gov/nuccore/KT288271				LEIV-15248lv	Aedes_group	Unknown	Unknown	none	none	none
CA|JSV_KX817319.1|1963	JSV	KX817318	1963-XX-XX	California	Kern_CA	Unknown_Kern_CA	genbank	M	Hughes et al	https://www.ncbi.nlm.nih.gov/nuccore/KX817320					Culiseta_inornata	Multi_Culiseta	Multivoltine	none	none	none
NJ|SORV_KX817337.1|1960	SORV	KX817336	1960-XX-XX	New-Jersey	Unknown_NJ	Unknown_NJ	genbank	M	Hughes et al	https://www.ncbi.nlm.nih.gov/nuccore/KX817338					Anopheles_crucians	Multi_Anopheles	Multivoltine	none	none	none
CO|KX817316.1|1961	JCV	KX817315	1961-XX-XX	Colorado	Boulder_CO	Jamestown_CO	genbank	M	Hughes et al	https://www.ncbi.nlm.nih.gov/nuccore/KX817317				JCV/61/CO	Culiseta_inornata	Multi_Culiseta	Multivoltine	none	none	none
MA|MN135990.1|2016-06	JCV	MN135990	2016-06-XX	Massachusetts	Bristol_MA	Unknown_Bristol_MA	genbank	M	Kinsella et al	https://www.ncbi.nlm.nih.gov/nuccore/MN135989	Jamestown Canyon virus in Massachusetts: clinical case sErie_NYs and vector screening	"Emerg. Microbes Infect. 9(1), 903-912 (2020)"	https://doi.org/10.1080/22221751.2020.1756697	16/MA/01	Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B
MA|Yale-JC0779|2023	JCV		2023-05-31	Massachusetts	Worcester_MA	Webster_MA		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	none	none	none
MA|Yale-JC0782|2023	JCV		2023-06-28	Massachusetts	Berkshire_MA	Pittsfield_MA		M	Bourgikos						Aedes_communis	Uni_Aedes	Univoltine	A	A.1	A.1.0
MA|Yale-JC0783|2023	JCV		2023-06-28	Massachusetts	Berkshire_MA	Pittsfield_MA		M	Bourgikos						Aedes_communis	Uni_Aedes	Univoltine	A	A.1	A.1.0
MA|Yale-JC0784|2023	JCV		2023-05-26	Massachusetts	Plymouth_MA	Middleborough_MA		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B
NM|MH900531.1|1977	JCV	MH900530	1977-04-XX	New-Mexico	Unknown_NM	Unknown_NM	genbank	M	Hughes et al	https://www.ncbi.nlm.nih.gov/nuccore/MH900532	"Centers for Disease Control and Prevention, Division of Vector-borne Diseases"	CDC	https://www.ncbi.nlm.nih.gov/nuccore/MH900532	NM5-4BU	Culiseta_inornata	Multi_Culiseta	Multivoltine	none	none	none
CA_Manitoba|MH370819.1|1979	JCV	MH370818	1979-XX-XX	Manitoba_Canada	Unknown_Manitoba	Unknown_Manitoba	genbank	M	Hughes et al	https://www.ncbi.nlm.nih.gov/nuccore/MH370820	"Centers for Disease Control and Prevention, Division of Vector-borne Diseases"	CDC	https://www.ncbi.nlm.nih.gov/nuccore/MH370820	MN256-260	Aedes_group	Uni_Aedes	Univoltine	A	A.2	A.2.0
CT|HM007354.1|2003	JCV	HM007355	2003-XX-XX	Connecticut	Unknown_CT	Unknown_CT	genbank	M	Bennett et al	https://www.ncbi.nlm.nih.gov/nuccore/HM007353	The full genome sequence of three strains of Jamestown Canyon virus and their pathogenesis in mice or monkeys	"Virol. J. 8(1), 136 (2011)"	https://doi.org/10.1186/1743-422X-8-136	JCV/03/CTcl	Aedes_abserratus	Uni_Aedes	Univoltine	none	none	none
CT|HM007357.1|2004	JCV	HM007358	2004-XX-XX	Connecticut	Unknown_CT	Unknown_CT	genbank	M	Bennett et al	https://www.ncbi.nlm.nih.gov/nuccore/HM007356	The full genome sequence of three strains of Jamestown Canyon virus and their pathogenesis in mice or monkeys	"Virol. J. 8(1), 136 (2011)"	https://doi.org/10.1186/1743-422X-8-136	JCV/04/CTcl	Aedes_canadensis	Uni_Aedes	Univoltine	none	none	none
NY|JC02|2003	JCV		2003-XX-XX	New-York	Westchester_NY	Unknown_Westchester_NY		M	Bourgikos					JCV02	Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
NY|JC04|2004	JCV		2004-XX-XX	New-York	Oneida_NY	Unknown_Oneida_NY		M	Bourgikos					JCV04	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|JC05|2004	JCV		2004-XX-XX	New-York	Clinton_NY	Unknown_Clinton_NY		M	Bourgikos					JCV05	Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|JC06|2005	JCV		2005-XX-XX	New-York	Cattaragus_NY	Unknown_Cattaragus_NY		M	Bourgikos					JCV06	Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.1
NY|JC07|2006	JCV		2006-XX-XX	New-York	Onondaga_NY	Unknown_Onondaga_NY		M	Bourgikos					JCV07	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|JC08|2007	JCV		2007-XX-XX	New-York	Westchester_NY	Unknown_Westchester_NY		M	Bourgikos					JCV08	Aedes_triseriatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
NY|JC09|2007	JCV		2007-XX-XX	New-York	Onondaga_NY	Unknown_Onondaga_NY		M	Bourgikos					JCV09	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|JC10|2008	JCV		2008-XX-XX	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos					JCV10	Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
NY|JC11|2008	JCV		2008-XX-XX	New-York	Oneida_NY	Unknown_Oneida_NY		M	Bourgikos					JCV11	Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.1
NY|JC12|2009	JCV		2009-XX-XX	New-York	Chautauqua_NY	Unknown_Chautauqua_NY		M	Bourgikos					JCV12	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|JC13|2009	JCV		2009-XX-XX	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos					JCV13	Aedes_stimulans	Uni_Aedes	Univoltine	A	A.2	A.2.1
NY|JC14|2010	JCV		2010-XX-XX	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos					JCV14	Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|JC15|2010	JCV		2010-XX-XX	New-York	Westchester_NY	Unknown_Westchester_NY		M	Bourgikos					JCV15	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
NY|JC16|2011	JCV		2011-XX-XX	New-York	Westchester_NY	Unknown_Westchester_NY		M	Bourgikos					JCV16	Aedes_triseriatus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
NY|JC17|2011	JCV		2011-XX-XX	New-York	Rockland_NY	Unknown_Rockland_NY		M	Bourgikos					JCV17	Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
NY|JC18|2012	JCV		2012-XX-XX	New-York	Onondaga_NY	Unknown_Onondaga_NY		M	Bourgikos					JCV18	Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1
NY|JC19|2012	JCV		2012-XX-XX	New-York	Oswego_NY	Unknown_Oswego_NY		M	Bourgikos					JCV19	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|JC21|2013	JCV		2013-XX-XX	New-York	Madison_NY	Unknown_Madison_NY		M	Bourgikos					JCV21	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|JC22|2014	JCV		2014-XX-XX	New-York	Rockland_NY	Unknown_Rockland_NY		M	Bourgikos					JCV22	Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
NY|JC23|2014	JCV		2014-XX-XX	New-York	Onondaga_NY	Unknown_Onondaga_NY		M	Bourgikos					JCV23	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|JC25|2015	JCV		2015-XX-XX	New-York	Cattaragus_NY	Unknown_Cattaragus_NY		M	Bourgikos					JCV25	Aedes_sticticus	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|JC26|2016	JCV		2016-XX-XX	New-York	Cattaragus_NY	Unknown_Cattaragus_NY		M	Bourgikos					JCV26	Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.1
NY|JC27|2016	JCV		2016-XX-XX	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos					JCV27	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|JC28|2017	JCV		2017-XX-XX	New-York	Cattaragus_NY	Unknown_Cattaragus_NY		M	Bourgikos					JCV28	Anopheles_quadrimaculatus	Multi_Anopheles	Multivoltine	A	A.1	A.1.1
NY|JC29|2017	JCV		2017-XX-XX	New-York	Suffolk_NY	Unknown_Suffolk_NY		M	Bourgikos					JCV29	Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
NY|JC30|2018	JCV		2018-XX-XX	New-York	Chautauqua_NY	Unknown_Chautauqua_NY		M	Bourgikos					JCV30	Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1
NY|JC31|2018	JCV		2018-XX-XX	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos					JCV31	Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.1
NY|JC32|2019	JCV		2019-XX-XX	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos					JCV32	Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
NY|JC33|2019	JCV		2019-XX-XX	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos					JCV33	Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|JC060|2022	JCV		2022-XX-XX	New-York	Suffolk_NY	Unknown_Suffolk_NY		M	Bourgikos					JCV060	Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|JC278|2022	JCV		2022-XX-XX	New-York	Madison_NY	Unknown_Madison_NY		M	Bourgikos					JCV278	Aedes_canadensis	Uni_Aedes	Univoltine	B	B	B
NY|JC333|2022	JCV		2022-XX-XX	New-York	Onondaga_NY	Unknown_Onondaga_NY		M	Bourgikos					JCV333	Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.2
NY|Yale-JC0665|2007	JCV		2007-07-03	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|Yale-JC0666|2008	JCV		2008-07-18	New-York	Cattaragus_NY	Unknown_Cattaragus_NY		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.1
NY|Yale-JC0667|2008	JCV		2008-06-12	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0669|2008	JCV		2008-07-29	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|Yale-JC0671|2008	JCV		2008-07-17	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|Yale-JC0672|2008	JCV		2008-06-26	New-York	Oswego_NY	Unknown_Oswego_NY		M	Bourgikos						Aedes_japonicus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
NY|Yale-JC0673|2008	JCV		2008-07-01	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1
NY|Yale-JC0674|2008	JCV		2008-07-10	New-York	Rockland_NY	Unknown_Rockland_NY		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
NY|Yale-JC0675|2008	JCV		2008-08-15	New-York	Ulster_NY	Unknown_Ulster_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
NY|Yale-JC0676|2009	JCV		2009-07-31	New-York	Cattaragus_NY	Unknown_Cattaragus_NY		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.1
NY|Yale-JC0677|2009	JCV		2009-06-16	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0678|2009	JCV		2009-06-10	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0679|2009	JCV		2009-06-23	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0680|2009	JCV		2009-06-29	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0681|2009	JCV		2009-06-25	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|Yale-JC0682|2009	JCV		2009-07-16	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1
NY|Yale-JC0684|2020	JCV		2020-09-11	New-York	Chautauqua_NY	Unknown_Chautauqua_NY		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.1
NY|Yale-JC0686|2010	JCV		2010-07-14	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1
NY|Yale-JC0687|2010	JCV		2010-06-14	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0688|2010	JCV		2010-06-30	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0689|2010	JCV		2010-06-30	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0690|2011	JCV		2011-06-23	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0692|2011	JCV		2011-06-30	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|Yale-JC0693|2011	JCV		2011-07-21	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Culiseta_melanura	Multi_Culiseta	Multivoltine	A	A.1	A.1
NY|Yale-JC0694|2012	JCV		2012-06-04	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.1
NY|Yale-JC0695|2012	JCV		2012-06-04	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0696|2012	JCV		2012-07-19	New-York	Monroe_NY	Unknown_Monroe_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1
NY|Yale-JC0697|2012	JCV		2012-06-21	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|Yale-JC0698|2012	JCV		2012-07-03	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|Yale-JC0700|2012	JCV		2012-07-12	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0701|2012	JCV		2012-07-10	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|Yale-JC0702|2012	JCV		2012-08-02	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.2
NY|Yale-JC0703|2012	JCV		2012-08-02	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1
NY|Yale-JC0705|2014	JCV		2014-06-20	New-York	Cattaragus_NY	Unknown_Cattaragus_NY		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.1
NY|Yale-JC0706|2014	JCV		2014-07-03	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0707|2014	JCV		2014-09-03	New-York	Chautauqua_NY	Unknown_Chautauqua_NY		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.1
NY|Yale-JC0708|2014	JCV		2014-06-23	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0709|2014	JCV		2014-06-25	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0710|2014	JCV		2014-06-18	New-York	Monroe_NY	Unknown_Monroe_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|Yale-JC0711|2014	JCV		2014-07-17	New-York	Monroe_NY	Unknown_Monroe_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|Yale-JC0712|2014	JCV		2014-06-12	New-York	Ontario_NY	Unknown_Ontario_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|Yale-JC0715|2015	JCV		2015-06-04	New-York	Cattaragus_NY	Unknown_Cattaragus_NY		M	Bourgikos						Stc	Unknown	Unknown	A	A.1	A.1.1
NY|Yale-JC0716|2015	JCV		2015-07-14	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_trivittatus	Multi_Aedes	Multivoltine	A	A.1	A.1.1
NY|Yale-JC0718.1|2014	JCV		2014-07-02	New-York	Oswego_NY	Unknown_Oswego_NY		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
NY|Yale-JC0719|2014	JCV		2014-07-02	New-York	Oswego_NY	Unknown_Oswego_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
NY|Yale-JC0720|2015	JCV		2015-06-30	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|Yale-JC0721|2017	JCV		2017-08-16	New-York	Cattaragus_NY	Unknown_Cattaragus_NY		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1
NY|Yale-JC0722|2018	JCV		2018-06-04	New-York	Cattaragus_NY	Unknown_Cattaragus_NY		M	Bourgikos						Aedes_trivittatus	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0724|2018	JCV		2018-08-15	New-York	Chautauqua_NY	Unknown_Chautauqua_NY		M	Bourgikos						Anopheles_quadrimaculatus	Multi_Anopheles	Multivoltine	A	A.1	A.1
NY|Yale-JC0725|2018	JCV		2018-06-25	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0726|2018	JCV		2018-06-19	New-York	Monroe_NY	Unknown_Monroe_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|Yale-JC0727|2018	JCV		2018-06-26	New-York	Monroe_NY	Unknown_Monroe_NY		M	Bourgikos						Aedes_stimulans	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|Yale-JC0728|2017	JCV		2017-07-03	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Culiseta_melanura	Multi_Culiseta	Multivoltine	A	A.1	A.1.2
NY|Yale-JC0730|2018	JCV		2018-06-14	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.2
NY|Yale-JC0731|2019	JCV		2019-07-09	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|Yale-JC0732|2019	JCV		2019-06-11	New-York	Monroe_NY	Unknown_Monroe_NY		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.2
NY|Yale-JC0733|2019	JCV		2019-06-11	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.2
NY|Yale-JC0734|2019	JCV		2019-06-21	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|Yale-JC0736|2019	JCV		2019-07-23	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|Yale-JC0737|2020	JCV		2020-08-21	New-York	Chautauqua_NY	Unknown_Chautauqua_NY		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.1
NY|Yale-JC0738|2020	JCV		2020-09-01	New-York	Chautauqua_NY	Unknown_Chautauqua_NY		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1
NY|Yale-JC0740|2020	JCV		2020-09-03	New-York	Chautauqua_NY	Unknown_Chautauqua_NY		M	Bourgikos						Anopheles_quadrimaculatus	Multi_Anopheles	Multivoltine	A	A.1	A.1
NY|Yale-JC0741|2020	JCV		2020-09-11	New-York	Chautauqua_NY	Unknown_Chautauqua_NY		M	Bourgikos						Anopheles_quadrimaculatus	Multi_Anopheles	Multivoltine	A	A.1	A.1
NY|Yale-JC0742|2020	JCV		2020-09-11	New-York	Chautauqua_NY	Unknown_Chautauqua_NY		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.1
NY|Yale-JC0743.1|2020	JCV		2020-09-11	New-York	Chautauqua_NY	Unknown_Chautauqua_NY		M	Bourgikos						Anopheles_quadrimaculatus	Multi_Anopheles	Multivoltine	A	A.1	A.1.1
NY|Yale-JC0744|2020	JCV		2020-07-14	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.1
NY|Yale-JC0745|2013	JCV		2013-06-12	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.1
NY|Yale-JC0746.1|2020	JCV		2020-06-23	New-York	Monroe_NY	Unknown_Monroe_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.2
NY|Yale-JC0747|2020	JCV		2020-06-18	New-York	Oswego_NY	Unknown_Oswego_NY		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
NY|Yale-JC0748.1|2020	JCV		2020-06-25	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|Yale-JC0749|2020	JCV		2020-07-16	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1
NY|Yale-JC0750|2020	JCV		2020-08-13	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.2
NY|Yale-JC0753|2021	JCV		2021-07-14	New-York	Monroe_NY	Unknown_Monroe_NY		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1
NY|Yale-JC0754|2021	JCV		2021-06-30	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1
NY|Yale-JC0755|2021	JCV		2021-07-08	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1
NY|Yale-JC0756|2021	JCV		2021-06-29	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1
NY|Yale-JC0757|2021	JCV		2021-07-08	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|Yale-JC0758|2022	JCV		2022-06-15	New-York	Monroe_NY	Unknown_Monroe_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|Yale-JC0760|2022	JCV		2022-07-07	New-York	Monroe_NY	Unknown_Monroe_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.2
NY|Yale-JC0761|2022	JCV		2022-06-09	New-York	Schoharie_NY	Unknown_Schoharie_NY		M	Bourgikos						Aedes_sollicitans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
NY|Yale-JC0762|2022	JCV		2022-07-08	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1
NY|Yale-JC0763|2022	JCV		2022-07-17	New-York	Putnam_NY	Unknown_Putnam_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.1
NY|Yale-JC0764|2022	JCV		2022-08-17	New-York	Schoharie_NY	Unknown_Schoharie_NY		M	Bourgikos						Anopheles_punctipennis	Multi_Anopheles	Multivoltine	A	A.1	A.1.0
NY|Yale-JC0765|2022	JCV		2022-09-15	New-York	Schoharie_NY	Unknown_Schoharie_NY		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
NY|Yale-JC0766|2020	JCV		2020-07-14	New-York	Erie_NY	Unknown_Erie_NY		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.1
NY|Yale-JC0767|2013	JCV		2013-07-16	New-York	Orange_NY	Unknown_Orange_NY		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1
NY|Yale-JC0768|2017	JCV		2017-09-06	New-York	Ulster_NY	Unknown_Ulster_NY		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
