strain	virus	accession	date	state	county	city	db	segment	authors	url	title	journal	paper_url	isolate	species	voltine_genus	generation	lineage_1	lineage_2	lineage_3
ND|Yale-JC0220|2005	JCV		2005-08-02	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0221|2005	JCV		2005-08-08	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_dorsalis	Multi_Aedes	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0222|2005	JCV		2005-08-09	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0223|2005	JCV		2005-08-09	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.0
ND|Yale-JC0224|2005	JCV		2005-08-09	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0225|2005	JCV		2005-08-09	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	none	none	none
ND|Yale-JC0226|2005	JCV		2005-08-09	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_melanimon	Uni_Aedes	Univoltine	A	A.1	A.1
ND|Yale-JC0227|2005	JCV		2005-08-26	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Culex_tarsalis	Multi_Culex	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0228|2005	JCV		2005-08-26	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Culiseta_inornata	Multi_Culiseta	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0229|2005	JCV		2005-09-12	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0230|2005	JCV		2005-09-12	North-Dakota	Cass_ND	Fargo_ND		M	Bourgikos						Aedes_dorsalis	Multi_Aedes	Multivoltine	A	A.2	A.2.1
CT|Yale-JC0231|2006	JCV		2006-06-07	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_sollicitans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0232|2006	JCV		2006-06-14	Connecticut	Fairfield_CT	Stratford_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0233|2006	JCV		2006-06-15	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	B	B	B.0
CT|Yale-JC0234|2006	JCV		2006-06-19	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0236|2006	JCV		2006-06-19	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_sollicitans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0237|2006	JCV		2006-06-19	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0238|2006	JCV		2006-06-19	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0239|2006	JCV		2006-06-20	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_sticticus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0240|2006	JCV		2006-06-28	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_taeniorhynchus	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0241|2006	JCV		2006-06-28	Connecticut	Fairfield_CT	Fairfield_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0242|2006	JCV		2006-06-28	Connecticut	New-Haven_CT	North-Haven_CT		M	Bourgikos						Aedes_sticticus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0243|2006	JCV		2006-06-29	Connecticut	New-Haven_CT	New-Haven_CT		M	Bourgikos						Coquillettidia_perturbans	Uni_Coquillettidia	Univoltine	A	A.1	A.1.0
CT|Yale-JC0244|2006	JCV		2006-07-06	Connecticut	New-Haven_CT	Cheshire_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0245|2006	JCV		2006-07-06	Connecticut	New-Haven_CT	Cheshire_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0246|2006	JCV		2006-07-06	Connecticut	Middlesex_CT	Killingworth_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0247|2006	JCV		2006-07-06	Connecticut	Middlesex_CT	Killingworth_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0248|2006	JCV		2006-07-06	Connecticut	Middlesex_CT	Killingworth_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0249|2006	JCV		2006-07-06	Connecticut	Fairfield_CT	Westport_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0250|2006	JCV		2006-07-11	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Culex_pipiens	Multi_Culex	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0251|2006	JCV		2006-07-11	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.1	A.1.0
ND|Yale-JC0253|2006	JCV		2006-07-12	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_vexans	Multi_Aedes	Multivoltine	A	A.2	A.2.0
CT|Yale-JC0254|2006	JCV		2006-07-21	Connecticut	New-Haven_CT	West-Haven_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
ND|Yale-JC0255|2006	JCV		2006-07-26	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_dorsalis	Multi_Aedes	Multivoltine	A	A.2	A.2.1
ND|Yale-JC0256|2006	JCV		2006-07-26	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_flavescens	Uni_Aedes	Univoltine	A	A.2	A.2.1
ND|Yale-JC0257|2006	JCV		2006-08-08	North-Dakota	Williams_ND	Williston_ND		M	Bourgikos						Aedes_dorsalis	Multi_Aedes	Multivoltine	A	A.2	A.2.1
CT|Yale-JC0258|2006	JCV		2006-10-03	Connecticut	Fairfield_CT	Darien_CT		M	Bourgikos						Aedes_cantator	Multi_Aedes	Multivoltine	A	A.1	A.1.0
CT|Yale-JC0259|2007	JCV		2007-06-06	Connecticut	Hartford_CT	Farmington_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0261|2007	JCV		2007-06-07	Connecticut	Tolland_CT	Willlington_CT		M	Bourgikos						Aedes_sticticus	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0262|2007	JCV		2007-06-11	Connecticut	Windham_CT	Hampton_CT		M	Bourgikos						Aedes_abserratus	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0263|2007	JCV		2007-06-12	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0264|2007	JCV		2007-06-12	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0265|2007	JCV		2007-06-12	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0266|2007	JCV		2007-06-12	Connecticut	New-Haven_CT	Milford_CT		M	Bourgikos						Aedes_canadensis	Uni_Aedes	Univoltine	A	A.1	A.1.0
CT|Yale-JC0267|2007	JCV		2007-06-14	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
CT|Yale-JC0268|2007	JCV		2007-06-14	Connecticut	New-Haven_CT	East-Haven_CT		M	Bourgikos						Aedes_aurifer	Uni_Aedes	Univoltine	B	B	B.0
